Type,Merk,kapasitas_mesin_cc,Bulan,PPnBM,jumlah_penjualan
HR-V Prestige,Honda,1800,2021-05-01,100,2
HR-V Prestige,Honda,1800,2021-06-01,100,110
HR-V Prestige,Honda,1800,2021-07-01,100,68
HR-V Prestige,Honda,1800,2021-08-01,100,119
HR-V Prestige,Honda,1800,2021-09-01,100,61
HR-V Prestige,Honda,1800,2021-10-01,100,0
HR-V Prestige,Honda,1800,2021-11-01,100,56
HR-V Prestige,Honda,1800,2021-12-01,100,66
HR-V Prestige,Honda,1800,2022-01-01,0,0
HR-V Prestige,Honda,1800,2022-02-01,0,0
Xpander,Mitsubishi,1500,2020-01-01,0,1577
Xpander,Mitsubishi,1500,2020-02-01,0,1961
Xpander,Mitsubishi,1500,2020-03-01,0,1632
Xpander,Mitsubishi,1500,2020-04-01,0,179
Xpander,Mitsubishi,1500,2020-05-01,0,146
Xpander,Mitsubishi,1500,2020-06-01,0,175
Xpander,Mitsubishi,1500,2020-07-01,0,474
Xpander,Mitsubishi,1500,2020-08-01,0,599
Xpander,Mitsubishi,1500,2020-09-01,0,733
Xpander,Mitsubishi,1500,2020-10-01,0,825
Xpander,Mitsubishi,1500,2020-11-01,0,795
Xpander,Mitsubishi,1500,2020-12-01,0,1197
Xpander,Mitsubishi,1500,2021-01-01,0,1961
Xpander,Mitsubishi,1500,2021-02-01,0,924
Xpander,Mitsubishi,1500,2021-03-01,100,2215
Xpander,Mitsubishi,1500,2021-04-01,100,3902
Xpander,Mitsubishi,1500,2021-05-01,100,3321
Xpander,Mitsubishi,1500,2021-06-01,100,913
Xpander,Mitsubishi,1500,2021-07-01,100,3142
Xpander,Mitsubishi,1500,2021-08-01,100,2335
Xpander,Mitsubishi,1500,2021-09-01,100,2613
Xpander,Mitsubishi,1500,2021-10-01,100,1882
Xpander,Mitsubishi,1500,2021-11-01,100,1550
Xpander,Mitsubishi,1500,2021-12-01,100,5525
Xpander,Mitsubishi,1500,2022-01-01,100,2413
Xpander,Mitsubishi,1500,2022-02-01,100,3173
Xpander Cross,Mitsubishi,1500,2020-01-01,0,2344
Xpander Cross,Mitsubishi,1500,2020-02-01,0,1362
Xpander Cross,Mitsubishi,1500,2020-03-01,0,1676
Xpander Cross,Mitsubishi,1500,2020-04-01,0,136
Xpander Cross,Mitsubishi,1500,2020-05-01,0,95
Xpander Cross,Mitsubishi,1500,2020-06-01,0,288
Xpander Cross,Mitsubishi,1500,2020-07-01,0,534
Xpander Cross,Mitsubishi,1500,2020-08-01,0,657
Xpander Cross,Mitsubishi,1500,2020-09-01,0,727
Xpander Cross,Mitsubishi,1500,2020-10-01,0,846
Xpander Cross,Mitsubishi,1500,2020-11-01,0,1440
Xpander Cross,Mitsubishi,1500,2020-12-01,0,1464
Xpander Cross,Mitsubishi,1500,2021-01-01,0,1508
Xpander Cross,Mitsubishi,1500,2021-02-01,0,840
Xpander Cross,Mitsubishi,1500,2021-03-01,100,2492
Xpander Cross,Mitsubishi,1500,2021-04-01,100,1598
